Distance_(pixels),Value,Y1
748,55872229376.000,55690403840.000
749,55878307840.000,55695613952.000
750,55883866112.000,55700742144.000
751,55889485824.000,55705903104.000
752,55894933504.000,55711375360.000
753,55900012544.000,55716810752.000
754,55905161216.000,55722651648.000
755,55910051840.000,55728410624.000
756,55914569728.000,55734300672.000
757,55919157248.000,55740809216.000
758,55922634752.000,55747375104.000
759,55926312960.000,55753854976.000
760,55929876480.000,55760834560.000
761,55932948480.000,55767711744.000
762,55935954944.000,55775256576.000
763,55938445312.000,55782518784.000
764,55940853760.000,55790215168.000
765,55942930432.000,55797547008.000
766,55944491008.000,55805038592.000
767,55946076160.000,55812804608.000
768,55947010048.000,55820419072.000
769,55947624448.000,55828402176.000
770,55948394496.000,55836028928.000
771,55948828672.000,55843598336.000
772,55949598720.000,55851528192.000
773,55949275136.000,55860015104.000
774,55949443072.000,55868084224.000
775,55949402112.000,55876182016.000
776,55949271040.000,55884361728.000
777,55949275136.000,55892647936.000
778,55948783616.000,55901339648.000
779,55949045760.000,55909195776.000
780,55948906496.000,55917780992.000
781,55949275136.000,55926222848.000
782,55950036992.000,55934771200.000
783,55950192640.000,55943110656.000
784,55951757312.000,55951392768.000
785,55953002496.000,55959691264.000
786,55954493440.000,55967866880.000
787,55956467712.000,55975989248.000
788,55958355968.000,55983874048.000
789,55960997888.000,55992020992.000
790,55963127808.000,55999774720.000
791,55965425664.000,56007716864.000
792,55968100352.000,56015687680.000
793,55970594816.000,56023302144.000
794,55973347328.000,56030867456.000
795,55976321024.000,56038371328.000
796,55979110400.000,56045735936.000
797,55982243840.000,56053596160.000
798,55984693248.000,56061030400.000
799,55987798016.000,56069009408.000
800,55990812672.000,56076656640.000
801,55993724928.000,56084557824.000
802,55996846080.000,56092295168.000
803,55999934464.000,56100364288.000
804,56003567616.000,56108392448.000
805,56006909952.000,56116834304.000
806,56010493952.000,56124919808.000
807,56014458880.000,56133718016.000
808,56018989056.000,56142032896.000
809,56023863296.000,56150548480.000
810,56028594176.000,56159473664.000
811,56034611200.000,56168308736.000
812,56040394752.000,56177405952.000
813,56047067136.000,56186798080.000
814,56053993472.000,56196128768.000
815,56061300736.000,56205504512.000
816,56069255168.000,56214896640.000
817,56077299712.000,56224833536.000
818,56086487040.000,56234192896.000
819,56095801344.000,56244019200.000
820,56105750528.000,56253898752.000
821,56116445184.000,56263397376.000
822,56127819776.000,56273223680.000
823,56139751424.000,56283037696.000
824,56151867392.000,56292745216.000
825,56164651008.000,56302399488.000
826,56177811456.000,56312516608.000
827,56191049728.000,56322404352.000
828,56204836864.000,56332218368.000
829,56218394624.000,56342646784.000
830,56232140800.000,56352804864.000
831,56246460416.000,56363171840.000
832,56260018176.000,56373821440.000
833,56274206720.000,56384565248.000
834,56287698944.000,56395776000.000
835,56301735936.000,56407154688.000
836,56315686912.000,56419086336.000
837,56329502720.000,56431288320.000
838,56343437312.000,56443625472.000
839,56357134336.000,56456744960.000
840,56371720192.000,56469544960.000
841,56386306048.000,56482562048.000
842,56401059840.000,56495874048.000
843,56416612352.000,56509407232.000
844,56432246784.000,56523206656.000
845,56447795200.000,56536674304.000
846,56463532032.000,56550817792.000
847,56479571968.000,56564391936.000
848,56495398912.000,56579006464.000
849,56511184896.000,56593346560.000
850,56527020032.000,56607895552.000
851,56542007296.000,56622796800.000
852,56557203456.000,56637800448.000
853,56572211200.000,56653078528.000
854,56586649600.000,56668782592.000
855,56601690112.000,56684216320.000
856,56615690240.000,56699994112.000
857,56629870592.000,56716378112.000
858,56644399104.000,56732254208.000
859,56659013632.000,56748830720.000
860,56673931264.000,56765702144.000
861,56689139712.000,56782659584.000
862,56704540672.000,56799997952.000
863,56720752640.000,56817471488.000
864,56736796672.000,56835481600.000
865,56753635328.000,56853540864.000
866,56770510848.000,56871784448.000
867,56787619840.000,56890372096.000
868,56805654528.000,56908939264.000
